coach_type,item_code,qty_per_coach
S3099000200001,30922173,16
S3099000200001,30922197,4
S3099000200001,30922203,4
S3099000200001,30922240,16
S3099000200001,30922331,16
S3099000200001,30922367,4
S3099000200001,30922525,16
S3099000200001,31580002,25.7
S3099000200001,33502894,4
S3099000200001,73049992,16
S3099000200001,74165045,16
S3099000200001,76019809,20
S3099000200001,76115100,103.3
S3099000200001,76210560,35
S3099000200001,31111233,6
S3099000200001,30410680,1
S3099000200001,30510960,0.856
S3099000200001,30520253,2.36
S3099000200001,30631660,1
S3099000200001,73511468,8
S3099000200001,73530712,0.03
S3099000200001,73548133,0.005
S3099000200001,73560194,2
S3099000200001,73560741,0.002
S3099000200001,73561186,24
S3099000200001,73720513,24
S3099000200001,73807000,24
S3099000200001,73817909,1.6
S3099000200001,75328148,9.7
S3099000200001,33661327,12
S3099000200001,40090840,8.04
S3099000200001,76214606,58
S3099000200001,31257410,2
S3099000200001,31120106,2
S3099000200001,76019780,650
S3099000200001,30020670,16
S3099000200001,30047109,2
S3099000200001,30011711,8
S3099000200001,30011190,16
S3099000200001,91110142,0.16
S3099000200001,30050807,8
S3099000200001,30054205,4
S3099000200001,30057395,4
S3099000200001,30060230,2
S3099000200001,30326497,76
S3099000200001,90706961,0.088
S3099000200001,31930451,2
S3099000200001,31930270,2
S3099000200001,31908032,2
S3099000200001,31310096,16
S3099000200001,31222699,2
S3099000200001,30321062,1
S3099000200001,30310441,16
S3099000200001,30076146,4
S3099000200001,30060450,2
S3099000200001,30326813,1
S3099000200001,30517205,2
S3099000200001,30517321,1
S3099000200001,30517333,1
S3099000200001,30921594,2
S3099000200001,30922100,8
S3099000200001,30922112,16
S3099000200001,30922276,1
S3099000200001,30922290,18
S3099000200001,30922379,20
S3099000200001,31101197,1
S3099000200001,31150263,10
S3099000200001,31160311,1
S3099000200001,31517079,1
S3099000200001,33557834,4
S3099000200001,33570462,4
S3099000200001,33672234,1
S3099000200001,62302036,0.592
S3099000200001,62302190,0.08
S3099000200001,62323003,2.32
S3099000200001,30051149,4
S3099000200001,77031258,4
S3099000200001,77035100,8
S3099000200001,77070409,24
S3099000200001,80010726,0.5
S3099000200001,80032904,0.4
S3099000200001,80034810,19.2
S3099000200001,84909857,0.789
S3099000200001,30147270,20
S3099000200001,30326746,1
S3099000200001,30517424,2
S3099000200001,30730235,4
S3099000200001,30921892,6
S3099000200001,31110370,1
S3099000200001,31160116,1
S3099000200001,76019792,2219
S3099000200001,76904738,3.27
S3099000200001,90330067,0.143
S3099000200001,90335302,2.8
S3099000200001,90336112,9.495
S3099000200001,90336136,0.284
S3099000200001,90336148,0.378
S3099000200001,90336185,1.386
S3099000200001,90336276,57.553
S3099000200001,90336343,26.572
S3099000200001,90338297,0.03
S3099000200001,90338339,4.158
S3099000200001,90338420,48.461
S3099000200001,90338480,0.63
S3099000200001,90350820,35.342
S3099000200001,90812268,8.054
S3099000200001,90817187,11.22
S3099000200001,90831111,16
S3099000200001,90831184,8
S3099000200001,30011255,16
S3099000200001,30020372,8
S3099000200001,30020487,8
S3099000200001,30020645,4
S3099000200001,30020761,4
S3099000200001,30020931,8
S3099000200001,30024419,8
S3099000200001,62331449,14.298
S3099000200001,30027068,8
S3099000200001,30051046,32
S3099000200001,30054217,4
S3099000200001,30056068,4
S3099000200001,30060540,2
S3099000200001,30076134,8
S3099000200001,30126125,8
S3099000200001,30130396,1
S3099000200001,30130451,8
S3099000200001,30137111,5
S3099000200001,30166070,14
S3099000200001,30260073,2
S3099000200001,30260103,2
S3099000200001,30922045,16
S3099000200001,30260152,4
S3099000200001,30267249,2
S3099000200001,30310325,16
S3099000200001,30316121,16
S3099000200001,30317149,8
S3099000200001,30321037,48
S3099000200001,30321256,16
S3099000200001,30321270,44
S3099000200001,30321293,4
S3099000200001,30321323,4
S3099000200001,30326709,12
S3099000200001,30350359,2
S3099000200001,30350360,2
S3099000200001,30350542,2
S3099000200001,30358346,6
S3099000200001,30510600,2
S3099000200001,30517199,2
S3099000200001,30520186,4
S3099000200001,30920980,84
S3099000200001,30921016,4
S3099000200001,30921028,4
S3099000200001,30921065,4
S3099000200001,30921077,2
S3099000200001,30921089,5
S3099000200001,30921132,2
S3099000200001,30921144,2
S3099000200001,30921569,8
S3099000200001,30020797,32
S3099000200001,62331759,0.98
S3099000200001,62331772,0.24
S3099000200001,62331796,0.52
S3099000200001,62331802,3.14
S3099000200001,33819890,2.176
S3099000200001,90401499,826.322
S3099000200001,90404178,69.143
S3099000200001,90406540,9.42
S3099000200001,90411948,113.04
S3099000200001,90420019,3.744
S3099000200001,90421280,30.144
S3099000200001,90421292,316.512
S3099000200001,90421360,10.55
S3099000200001,90423150,890.504
S3099000200001,90515195,1103.459
S3099000200001,90515997,3844.568
S3099000200001,90516059,1179.759
S3099000200001,90525085,454.373
S3099000200001,90526314,983.541
S3099000200001,90526478,1452.23
S3099000200001,90526521,1005.585
S3099000200001,90810041,83.387
S3099000200001,90812165,41.636
S3099000200001,90812189,36.672
S3099000200001,90812190,0.576
S3099000200001,90812220,161.568
S3099000200001,90818600,69.28
S3099000200001,90818684,64.918
S3099000200001,30006107,24
S3099000200001,30010676,16
S3099000200001,30010858,16
S3099000200001,30011231,16
S3099000200001,30011334,16
S3099000200001,30011358,16
S3099000200001,30011700,16
S3099000200001,30017518,1
S3099000200001,30020451,8
S3099000200001,30020591,24
S3099000200001,30020724,1
S3099000200001,30020750,8
S3099000200001,77031118,42.333
S3099000200001,73112227,0.5
S3099000200001,73130655,0.149
S3099000200001,73187847,48
S3099000200001,73321552,2
S3099000200001,73321977,2
S3099000200001,73322611,32
S3099000200001,73322738,24
S3099000200001,73323652,12
S3099000200001,73324279,16
S3099000200001,73324383,18
S3099000200001,73324759,16
S3099000200001,73510555,0.381
S3099000200001,73522533,0.095
S3099000200001,73522703,0.083
S3099000200001,73530402,0.046
S3099000200001,73530657,0.088
S3099000200001,73531200,0.094
S3099000200001,73540304,0.066
S3099000200001,73540560,0.114
S3099000200001,73560236,0.323
S3099000200001,73560716,0.56
S3099000200001,73560820,0.213
S3099000200001,73700708,0.028
S3099000200001,73700757,0.141
S3099000200001,73701002,0.858
S3099000200001,73710209,0.046
S3099000200001,73710258,0.028
S3099000200001,73710301,0.055
S3099000200001,73710350,0.155
S3099000200001,73710600,0.266
S3099000200001,73761503,0.558
S3099000200001,73806997,48
S3099000200001,73818136,8
S3099000200001,73836394,0.04
S3099000200001,73853574,32
S3099000200001,73854530,16
S3099000200001,74491404,4
S3099000200001,77030930,5.5
S3099000200001,77031090,1.3
S3099000200001,77031106,10
S3099000200001,73112203,2.36
S3099000200001,30057530,8
S3099000200001,30326758,16
S3099000200001,31011548,2
S3099000200001,31060304,8
S3099000200001,73033704,0.3
S3099000200001,73041026,0.848
S3099000200001,73090888,32
S3099000200001,73100195,0.333
S3099000200001,73101400,0.132
S3099000200001,73110504,0.189
S3099000200001,73110530,8
S3099000200001,73110565,6
S3099000200001,73110589,16
S3099000200001,73112008,0.063
