item_code,on_hand_qty
30000178,0
30000191,0
30000210,0
30006107,11203
30006119,747
30010457,7704
30010676,475
30010858,381
30011190,17204
30011231,344
30011255,1457
30011255,0
30011310,0
30011310,0
30011334,279
30011346,0
30011358,292
30011700,2127
30011711,1777
30011759,0
30011759,0
30011760,0
30011760,80
30014153,0
30017518,4
30017543,0
30017543,0
30020189,0
30020189,0
30020372,23
30020414,0
30020414,39
30020451,108
30020487,18
30020487,61
30020591,26684
30020645,36
30020670,354
30020712,0
30020724,5
30020750,142
30020761,0
30020797,3116
30020931,0
30020931,568
30020931,0
30020943,281
30020943,0
30021212,0
30021224,0
30024225,0
30024225,0
30024286,0
30024419,300
30024419,538
30027068,0
30027421,0
30027433,0
30027433,0
30027470,0
30027470,0
30027470,0
30030160,0
30030160,0
30030225,0
30030523,0
30030584,441
30030596,0
30034449,946
30036094,0
30036094,0
30036100,0
30037116,0
30037116,0
30037141,0
30037141,0
30037153,0
30037153,0
30037177,0
30037177,0
30037189,0
30037190,0
30037219,0
30037219,3
30037220,0
30037270,0
30037270,0
30037803,0
30040231,280
30040255,0
30046051,0
30047092,160
30047109,11
30047122,0
30047122,0
30050807,36
30051046,391
30051149,37
30051277,0
30051277,0
30051370,1405
30051381,1076
30054102,0
30054205,9
30054217,544
30054369,0
30054382,0
30054497,0
30054497,0
30056068,19
30056070,19
30056950,0
30057050,0
30057050,0
30057280,0
30057280,0
30057309,0
30057309,230
30057310,0
30057395,34
30057530,20
30057530,710
30057541,0
30057541,0
30058223,0
30058235,0
30060230,396
30060450,21
30060540,16
30060606,0
30060606,0
30064200,0
30066128,0
30066128,0
30067133,0
30067133,0
30070340,0
30070340,0
30070442,0
30076134,86
30076146,0
30100185,0
30100185,9897
30106114,0
30106114,0
30107660,6
30107702,0
30107702,0
30107799,1283
30107805,3
30107817,3
30110282,19
30110518,0
30110518,53
30110520,0
30110520,2
30110580,0
30110580,17
30110609,2
30110610,0
30110610,0
30110671,0
30110671,0
30110683,0
30111020,61
30126034,0
30126034,0
30126046,0
30126046,2
30126060,0
30126060,0
30126101,0
30126101,0
30126101,0
30126101,13
30126125,1662
30126137,0
30126137,0
30126149,0
30126149,0
30126691,0
30126691,0
30130396,212
30130402,13896
30130451,1552
30137111,163
30137123,0
30140432,0
30140432,0
30140626,2
30140651,0
30140663,6
30140705,0
30146008,0
30146008,0
30146069,7111
30147153,0
30147165,0
30147165,141
30147189,0
30147189,0
30147189,0
30147244,0
30147244,0
30147270,3830
30147281,0
30147293,0
30147293,0
30147335,0
30147335,0
30150164,0
30150164,0
30150279,2807
30150279,0
30150310,0
30150310,3
30150334,0
30150334,11
30154091,0
30154091,0
30156142,0
30156142,0
30156154,0
30156154,0
30156180,0
30156191,0
30160110,509
30160777,0
30160893,0
30160893,0
30160900,0
30160900,0
30160911,0
30160911,0
30160923,0
30160923,0
30160935,0
30160935,0
30160935,0
30160947,0
30160947,0
30160960,0
30160960,0
30160960,0
30166068,3537
30166070,3191
30166081,2038
30167176,0
30167176,0
30167334,0
30167334,0
30167383,2397
30216230,14
30216369,0
30216369,0
30217106,0
30217106,0
30217106,0
30217143,0
30217143,0
30220300,366
30220312,0
30220312,0
30220312,25
30220324,85.75
30226089,0
30226089,51
30236095,96
30246120,0
30246120,0
30246120,0
30246120,0
30250080,11
30250080,30
30250080,111
30251783,44
30251813,782
30251825,87
30256379,0
30256379,0
30256380,0
30256380,30
30256422,0
30256422,0
30256422,102
30256446,6
30260073,0
30260073,3192
30260103,0
30260103,1583
30260152,1138
30260360,242
30260371,0
30260371,0
30266397,0
30267249,0
30310271,0
30310325,166
30310386,0
30310441,434
30310441,0
30314069,0
30314070,0
30314070,0
30316121,319
30317149,172
30321037,568
30321037,29654
30321049,0
30321062,145
30321130,0
30321141,0
30321141,0
30321256,9607
30321270,8176
30321281,138
30321293,2688
30321323,142
30321335,440
30324385,0
30324385,0
30324543,4848
30326175,0
30326485,7626
30326497,0
30326497,11002
30326515,14741
30326576,0
30326576,0
30326709,14763
